../USEGALAXY/bowtie_wrappers/bowtie_wrapper.xml	10.1186/gb-2009-10-3-r25	'bowtie_1.1.1'
../USEGALAXY/samtools_split/samtools_split.xml	10.1093/bioinformatics/btp352	'SAMtools'
../USEGALAXY/bedtools/intersectBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/samtools_mpileup/samtools_mpileup.xml	10.1093/bioinformatics/btp352	'SAMtools'
../USEGALAXY/bedtools/spacingBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/bedtools/complementBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/bedtools/getfastaBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/bedtools/multiCov.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/bedtools/multiIntersectBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/bedtools/bamToFastq.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/bedtools/bedToIgv.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/bedtools/fisherBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/bedtools/bamToBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/bwa/bwa.xml	10.1093/bioinformatics/btp324	'BWA'
../USEGALAXY/bedtools/expandBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/macs2/macs2_randsample.xml	10.1186/gb-2008-9-9-r137	'MACS'
../USEGALAXY/bedtools/randomBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/bedtools/makeWindowsBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/bedtools/subtractBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/macs/macs_wrapper.xml	10.1186/gb-2008-9-9-r137	'MACS'
../USEGALAXY/bedtools/mapBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/bam_to_sam/bam_to_sam.xml	10.1093/bioinformatics/btp352	'SAMtools'
../USEGALAXY/bedtools/shuffleBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/bedtools/bedToBam.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/bedtools/coverageBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/cuffnorm/cuffnorm_wrapper.xml	10.1038/nbt.1621	'Cufflinks'
../USEGALAXY/bedtools/reldist.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/samtools_sort/samtools_sort.xml	10.1093/bioinformatics/btp352	'SAMtools'
../USEGALAXY/bowtie2/bowtie2_wrapper.xml	10.1038/nmeth.1923	'bowtie2'
../USEGALAXY/bamtools/bamtools.xml	10.1093/bioinformatics/btr174	'BamTools'
../USEGALAXY/gffcompare/gffcompare.xml	10.1038/nbt.1621	'Cufflinks'
../USEGALAXY/cufflinks/cufflinks_wrapper.xml	10.1038/nbt.1621	'Cufflinks'
../USEGALAXY/kraken2tax/kraken2tax.xml	10.1186/gb-2014-15-3-r46	'kraken'
../USEGALAXY/bedtools/annotateBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/macs2/macs2_callpeak.xml	10.1186/gb-2008-9-9-r137	'MACS'
../USEGALAXY/macs2/macs2_bdgdiff.xml	10.1186/gb-2008-9-9-r137	'MACS'
../USEGALAXY/samtools_bedcov/samtools_bedcov.xml	10.1093/bioinformatics/btp352	'SAMtools'
../USEGALAXY/bedtools/nucBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/bedtools/linksBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/taxonomy_krona_chart/taxonomy_krona_chart.xml	10.1186/1471-2105-12-385	'Krona'
../USEGALAXY/bedtools/maskFastaBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/samtools_reheader/samtools_reheader.xml	10.1093/bioinformatics/btp352	'SAMtools'
../USEGALAXY/sam_to_bam/sam_to_bam.xml	10.1093/bioinformatics/btp352	'SAMtools'
../USEGALAXY/bedtools/slopBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/kraken_report/kraken-mpa-report.xml	10.1186/gb-2014-15-3-r46	'kraken'
../USEGALAXY/bedtools/unionBedGraphs.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/samtools_flagstat/samtools_flagstat.xml	10.1093/bioinformatics/btp352	'SAMtools'
../USEGALAXY/bedtools/jaccardBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/macs2/macs2_refinepeak.xml	10.1186/gb-2008-9-9-r137	'MACS'
../USEGALAXY/bedtools/overlapBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/macs2/macs2_bdgcmp.xml	10.1186/gb-2008-9-9-r137	'MACS'
../USEGALAXY/bamtools_filter/bamtools-filter.xml	10.1093/bioinformatics/btr174	'BamTools'
../USEGALAXY/kraken_report/kraken-report.xml	10.1186/gb-2014-15-3-r46	'kraken'
../USEGALAXY/bedtools/clusterBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/bamtools_split/bamtools-split.xml	10.1093/bioinformatics/btr174	'BamTools'
../USEGALAXY/samtools_stats/samtools_stats.xml	10.1093/bioinformatics/btp352	'SAMtools'
../USEGALAXY/sicer/sicer_wrapper.xml	10.1093/bioinformatics/btp340	'SICER'
../USEGALAXY/bedtools/sortBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/samtools_calmd/samtools_calmd.xml	10.1093/bioinformatics/btp352	'SAMtools'
../USEGALAXY/cuffdiff/cuffdiff_wrapper.xml	10.1038/nbt.1621	'Cufflinks'
../USEGALAXY/macs2/macs2_bdgbroadcall.xml	10.1186/gb-2008-9-9-r137	'MACS'
../USEGALAXY/deseq2/deseq2.xml	10.1186/s13059-014-0550-8	'DESeq2'
../USEGALAXY/cuffcompare/cuffcompare_wrapper.xml	10.1038/nbt.1621	'Cufflinks'
../USEGALAXY/kraken_filter/kraken-filter.xml	10.1186/gb-2014-15-3-r46	'kraken'
../USEGALAXY/bedtools/flankBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/samtools_idxstats/samtools_idxstats.xml	10.1093/bioinformatics/btp352	'SAMtools'
../USEGALAXY/bedtools/tagBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/kraken_translate/kraken-translate.xml	10.1186/gb-2014-15-3-r46	'kraken'
../USEGALAXY/samtools_rmdup/samtools_rmdup.xml	10.1093/bioinformatics/btp352	'SAMtools'
../USEGALAXY/macs2/macs2_filterdup.xml	10.1186/gb-2008-9-9-r137	'MACS'
../USEGALAXY/bedtools/closestBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/uniprot_rest_interface/uniprot.xml	10.1093/nar/gku989	'Swiss-Prot'
../USEGALAXY/bedtools/bedpeToBam.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/bedtools/mergeBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/bedtools/groupbyBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/rgrnastar/rg_rnaStar.xml	10.1093/bioinformatics/bts635	'STAR'
../USEGALAXY/gffread/gffread.xml	10.1038/nbt.1621	'Cufflinks'
../USEGALAXY/bwa/bwa-mem.xml	10.1093/bioinformatics/btp324	'BWA'
../USEGALAXY/cuffmerge/cuffmerge_wrapper.xml	10.1038/nbt.1621	'Cufflinks'
../USEGALAXY/cuffquant/cuffquant_wrapper.xml	10.1038/nbt.1621	'Cufflinks'
../USEGALAXY/bedtools/genomeCoverageBed.xml	10.1093/bioinformatics/btq033	'BEDTools'
../USEGALAXY/macs2/macs2_bdgpeakcall.xml	10.1186/gb-2008-9-9-r137	'MACS'
../USEGALAXY/kraken/kraken.xml	10.1186/gb-2014-15-3-r46	'kraken'
../USEGALAXY/macs2/macs2_predictd.xml	10.1186/gb-2008-9-9-r137	'MACS'
