#XML	doi	biotools_id
USEGALAXY/bowtie_wrappers/bowtie_wrapper.xml	10.1186/gb-2009-10-3-r25	[u'Bowtie', u'bowtie_1.1.1', u'bowtie_1.1.1']
USEGALAXY/bwa/bwa.xml	10.1093/bioinformatics/btp324	[u'BWA', u'cloudifb_bwa']
USEGALAXY/bwa/bwa.xml	10.1093/bioinformatics/btp698	[u'BWA-SW', u'cloudifb_bwa']
USEGALAXY/macs/macs_wrapper.xml	10.1186/gb-2008-9-9-r137	[u'MACS']
USEGALAXY/cuffnorm/cuffnorm_wrapper.xml	10.1038/nbt.1621	[u'Cufflinks']
USEGALAXY/bowtie2/bowtie2_wrapper.xml	10.1186/gb-2009-10-3-r25	[u'Bowtie', u'bowtie_1.1.1', u'bowtie_1.1.1']
USEGALAXY/bowtie2/bowtie2_wrapper.xml	10.1038/nmeth.1923	[u'bowtie2', u'bowtie2']
USEGALAXY/bamtools/bamtools.xml	10.1093/bioinformatics/btr174	[u'BamTools']
USEGALAXY/gffcompare/gffcompare.xml	10.1038/nbt.1621	[u'Cufflinks']
USEGALAXY/cufflinks/cufflinks_wrapper.xml	10.1038/nbt.1621	[u'Cufflinks']
USEGALAXY/kraken2tax/kraken2tax.xml	10.1186/gb-2014-15-3-r46	[u'kraken']
USEGALAXY/taxonomy_krona_chart/taxonomy_krona_chart.xml	10.1186/1471-2105-12-385	[u'Krona']
USEGALAXY/taxonomy_krona_chart/taxonomy_krona_chart.xml	10.1093/bioinformatics/btu135	[u'Orione']
USEGALAXY/bamtools_filter/bamtools-filter.xml	10.1093/bioinformatics/btr174	[u'BamTools']
USEGALAXY/bamtools_split/bamtools-split.xml	10.1093/bioinformatics/btr174	[u'BamTools']
USEGALAXY/sicer/sicer_wrapper.xml	10.1093/bioinformatics/btp340	[u'SICER']
USEGALAXY/cuffdiff/cuffdiff_wrapper.xml	10.1038/nbt.1621	[u'Cufflinks']
USEGALAXY/deseq2/deseq2.xml	10.1186/s13059-014-0550-8	[u'DESeq2', u'DESeq2']
USEGALAXY/cuffcompare/cuffcompare_wrapper.xml	10.1038/nbt.1621	[u'Cufflinks']
USEGALAXY/uniprot_rest_interface/uniprot.xml	10.1093/nar/gku989	[u'Swiss-Prot']
USEGALAXY/gffread/gffread.xml	10.1038/nbt.1621	[u'Cufflinks']
USEGALAXY/bwa/bwa-mem.xml	10.1093/bioinformatics/btp324	[u'BWA', u'cloudifb_bwa']
USEGALAXY/bwa/bwa-mem.xml	10.1093/bioinformatics/btp698	[u'BWA-SW', u'cloudifb_bwa']
USEGALAXY/cuffmerge/cuffmerge_wrapper.xml	10.1038/nbt.1621	[u'Cufflinks']
USEGALAXY/cuffquant/cuffquant_wrapper.xml	10.1038/nbt.1621	[u'Cufflinks']
